[2025-04-06 16:59:19,715: INFO: main: Welcome to my log]
[2025-04-06 17:00:02,163: INFO: main: Welcome to my log]
[2025-04-07 15:19:43,561: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-07 15:19:43,561: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-07 15:19:43,561: INFO: common: created directory at: artifacts]
[2025-04-07 15:19:43,588: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-07 15:19:43,590: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 15:20:35,905: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:38:35,844: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-08 14:38:35,873: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-08 14:38:35,873: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-08 14:38:35,878: INFO: common: created directory at: artifacts]
[2025-04-08 14:38:35,878: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-08 14:38:35,879: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:39:13,176: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:39:14,383: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
